Title,Album,Year,Link
The Fountain Of Lamneth,"""Caress Of Steel""",1975,https://www.azlyrics.com/lyrics/rush/thefountainoflamneth.html
2112,"""2112""",1976,https://www.azlyrics.com/lyrics/rush/2112.html
A Passage To Bangkok,"""2112""",1976,https://www.azlyrics.com/lyrics/rush/apassagetobangkok.html
The Twilight Zone,"""2112""",1976,https://www.azlyrics.com/lyrics/rush/thetwilightzone.html
Lessons,"""2112""",1976,https://www.azlyrics.com/lyrics/rush/lessons.html
Tears,"""2112""",1976,https://www.azlyrics.com/lyrics/rush/tears.html
Something For Nothing,"""2112""",1976,https://www.azlyrics.com/lyrics/rush/somethingfornothing.html
A Farewell To Kings,"""A Farewell To Kings""",1977,https://www.azlyrics.com/lyrics/rush/afarewelltokings.html
Xanadu,"""A Farewell To Kings""",1977,https://www.azlyrics.com/lyrics/rush/xanadu.html
Closer To The Heart,"""A Farewell To Kings""",1977,https://www.azlyrics.com/lyrics/rush/closertotheheart.html
Cinderella Man,"""A Farewell To Kings""",1977,https://www.azlyrics.com/lyrics/rush/cinderellaman.html
Madrigal,"""A Farewell To Kings""",1977,https://www.azlyrics.com/lyrics/rush/madrigal.html
"Cygnus X-1, Book One: The Voyage","""A Farewell To Kings""",1977,https://www.azlyrics.com/lyrics/rush/cygnusx1bookonethevoyage.html
"Cygnus X-1, Book II: Hemispheres","""Hemispheres""",1978,https://www.azlyrics.com/lyrics/rush/cygnusx1bookiihemispheres.html
Circumstances,"""Hemispheres""",1978,https://www.azlyrics.com/lyrics/rush/circumstances.html
The Trees,"""Hemispheres""",1978,https://www.azlyrics.com/lyrics/rush/thetrees.html
The Spirit Of Radio,"""Permanent Waves""",1980,https://www.azlyrics.com/lyrics/rush/thespiritofradio.html
Freewill,"""Permanent Waves""",1980,https://www.azlyrics.com/lyrics/rush/freewill.html
Jacob's Ladder,"""Permanent Waves""",1980,https://www.azlyrics.com/lyrics/rush/jacobsladder.html
Entre Nous,"""Permanent Waves""",1980,https://www.azlyrics.com/lyrics/rush/entrenous.html
Different Strings,"""Permanent Waves""",1980,https://www.azlyrics.com/lyrics/rush/differentstrings.html
Natural Science,"""Permanent Waves""",1980,https://www.azlyrics.com/lyrics/rush/naturalscience.html
Tom Sawyer,"""Moving Pictures""",1981,https://www.azlyrics.com/lyrics/rush/tomsawyer.html
Red Barchetta,"""Moving Pictures""",1981,https://www.azlyrics.com/lyrics/rush/redbarchetta.html
Limelight,"""Moving Pictures""",1981,https://www.azlyrics.com/lyrics/rush/limelight.html
The Camera Eye,"""Moving Pictures""",1981,https://www.azlyrics.com/lyrics/rush/thecameraeye.html
Witch Hunt,"""Moving Pictures""",1981,https://www.azlyrics.com/lyrics/rush/witchhunt.html
Vital Signs,"""Moving Pictures""",1981,https://www.azlyrics.com/lyrics/rush/vitalsigns.html
Subdivisions,"""Signals""",1982,https://www.azlyrics.com/lyrics/rush/subdivisions.html
The Analog Kid,"""Signals""",1982,https://www.azlyrics.com/lyrics/rush/theanalogkid.html
Chemistry,"""Signals""",1982,https://www.azlyrics.com/lyrics/rush/chemistry.html
Digital Man,"""Signals""",1982,https://www.azlyrics.com/lyrics/rush/digitalman.html
The Weapon,"""Signals""",1982,https://www.azlyrics.com/lyrics/rush/theweapon.html
New World Man,"""Signals""",1982,https://www.azlyrics.com/lyrics/rush/newworldman.html
Losing It,"""Signals""",1982,https://www.azlyrics.com/lyrics/rush/losingit.html
Countdown,"""Signals""",1982,https://www.azlyrics.com/lyrics/rush/countdown.html
Distant Early Warning,"""Grace Under Pressure""",1984,https://www.azlyrics.com/lyrics/rush/distantearlywarning.html
Afterimage,"""Grace Under Pressure""",1984,https://www.azlyrics.com/lyrics/rush/afterimage.html
Red Sector A,"""Grace Under Pressure""",1984,https://www.azlyrics.com/lyrics/rush/redsectora.html
The Enemy Within,"""Grace Under Pressure""",1984,https://www.azlyrics.com/lyrics/rush/theenemywithin.html
The Body Electric,"""Grace Under Pressure""",1984,https://www.azlyrics.com/lyrics/rush/thebodyelectric.html
Kid Gloves,"""Grace Under Pressure""",1984,https://www.azlyrics.com/lyrics/rush/kidgloves.html
Red Lenses,"""Grace Under Pressure""",1984,https://www.azlyrics.com/lyrics/rush/redlenses.html
Between The Wheels,"""Grace Under Pressure""",1984,https://www.azlyrics.com/lyrics/rush/betweenthewheels.html
The Big Money,"""Power Windows""",1985,https://www.azlyrics.com/lyrics/rush/thebigmoney.html
Grand Designs,"""Power Windows""",1985,https://www.azlyrics.com/lyrics/rush/granddesigns.html
Manhattan Project,"""Power Windows""",1985,https://www.azlyrics.com/lyrics/rush/manhattanproject.html
Marathon,"""Power Windows""",1985,https://www.azlyrics.com/lyrics/rush/marathon.html
Territories,"""Power Windows""",1985,https://www.azlyrics.com/lyrics/rush/territories.html
Middletown Dreams,"""Power Windows""",1985,https://www.azlyrics.com/lyrics/rush/middletowndreams.html
Emotion Detector,"""Power Windows""",1985,https://www.azlyrics.com/lyrics/rush/emotiondetector.html
Mystic Rhythms,"""Power Windows""",1985,https://www.azlyrics.com/lyrics/rush/mysticrhythms.html
Force Ten,"""Hold Your Fire""",1987,https://www.azlyrics.com/lyrics/rush/forceten.html
Time Stand Still,"""Hold Your Fire""",1987,https://www.azlyrics.com/lyrics/rush/timestandstill.html
Open Secrets,"""Hold Your Fire""",1987,https://www.azlyrics.com/lyrics/rush/opensecrets.html
Second Nature,"""Hold Your Fire""",1987,https://www.azlyrics.com/lyrics/rush/secondnature.html
Prime Mover,"""Hold Your Fire""",1987,https://www.azlyrics.com/lyrics/rush/primemover.html
Lock And Key,"""Hold Your Fire""",1987,https://www.azlyrics.com/lyrics/rush/lockandkey.html
Mission,"""Hold Your Fire""",1987,https://www.azlyrics.com/lyrics/rush/mission.html
Turn The Page,"""Hold Your Fire""",1987,https://www.azlyrics.com/lyrics/rush/turnthepage.html
Tai Shan,"""Hold Your Fire""",1987,https://www.azlyrics.com/lyrics/rush/taishan.html
High Water,"""Hold Your Fire""",1987,https://www.azlyrics.com/lyrics/rush/highwater.html
Show Don't Tell,"""Presto""",1989,https://www.azlyrics.com/lyrics/rush/showdonttell.html
Chain Lightning,"""Presto""",1989,https://www.azlyrics.com/lyrics/rush/chainlightning.html
The Pass,"""Presto""",1989,https://www.azlyrics.com/lyrics/rush/thepass.html
War Paint,"""Presto""",1989,https://www.azlyrics.com/lyrics/rush/warpaint.html
Scars,"""Presto""",1989,https://www.azlyrics.com/lyrics/rush/scars.html
Presto,"""Presto""",1989,https://www.azlyrics.com/lyrics/rush/presto.html
Superconductor,"""Presto""",1989,https://www.azlyrics.com/lyrics/rush/superconductor.html
Anagram (For Mongo),"""Presto""",1989,https://www.azlyrics.com/lyrics/rush/anagramformongo.html
Red Tide,"""Presto""",1989,https://www.azlyrics.com/lyrics/rush/redtide.html
Hand Over Fist,"""Presto""",1989,https://www.azlyrics.com/lyrics/rush/handoverfist.html
Available Light,"""Presto""",1989,https://www.azlyrics.com/lyrics/rush/availablelight.html
Dreamline,"""Roll The Bones""",1991,https://www.azlyrics.com/lyrics/rush/dreamline.html
Bravado,"""Roll The Bones""",1991,https://www.azlyrics.com/lyrics/rush/bravado.html
Roll The Bones,"""Roll The Bones""",1991,https://www.azlyrics.com/lyrics/rush/rollthebones.html
Face Up,"""Roll The Bones""",1991,https://www.azlyrics.com/lyrics/rush/faceup.html
The Big Wheel,"""Roll The Bones""",1991,https://www.azlyrics.com/lyrics/rush/thebigwheel.html
Heresy,"""Roll The Bones""",1991,https://www.azlyrics.com/lyrics/rush/heresy.html
Ghost Of A Chance,"""Roll The Bones""",1991,https://www.azlyrics.com/lyrics/rush/ghostofachance.html
Neurotica,"""Roll The Bones""",1991,https://www.azlyrics.com/lyrics/rush/neurotica.html
You Bet Your Life,"""Roll The Bones""",1991,https://www.azlyrics.com/lyrics/rush/youbetyourlife.html
Animate,"""Counterparts""",1993,https://www.azlyrics.com/lyrics/rush/animate.html
Stick It Out,"""Counterparts""",1993,https://www.azlyrics.com/lyrics/rush/stickitout.html
Cut To The Chase,"""Counterparts""",1993,https://www.azlyrics.com/lyrics/rush/cuttothechase.html
Nobody's Hero,"""Counterparts""",1993,https://www.azlyrics.com/lyrics/rush/nobodyshero.html
Between Sun And Moon,"""Counterparts""",1993,https://www.azlyrics.com/lyrics/rush/betweensunandmoon.html
Alien Shore,"""Counterparts""",1993,https://www.azlyrics.com/lyrics/rush/alienshore.html
The Speed Of Love,"""Counterparts""",1993,https://www.azlyrics.com/lyrics/rush/thespeedoflove.html
Double Agent,"""Counterparts""",1993,https://www.azlyrics.com/lyrics/rush/doubleagent.html
Cold Fire,"""Counterparts""",1993,https://www.azlyrics.com/lyrics/rush/coldfire.html
Everyday Glory,"""Counterparts""",1993,https://www.azlyrics.com/lyrics/rush/everydayglory.html
Test For Echo,"""Test For Echo""",1996,https://www.azlyrics.com/lyrics/rush/testforecho.html
Driven,"""Test For Echo""",1996,https://www.azlyrics.com/lyrics/rush/driven.html
Half The World,"""Test For Echo""",1996,https://www.azlyrics.com/lyrics/rush/halftheworld.html
The Color Of Right,"""Test For Echo""",1996,https://www.azlyrics.com/lyrics/rush/thecolorofright.html
Time And Motion,"""Test For Echo""",1996,https://www.azlyrics.com/lyrics/rush/timeandmotion.html
Totem,"""Test For Echo""",1996,https://www.azlyrics.com/lyrics/rush/totem.html
Dog Years,"""Test For Echo""",1996,https://www.azlyrics.com/lyrics/rush/dogyears.html
Virtuality,"""Test For Echo""",1996,https://www.azlyrics.com/lyrics/rush/virtuality.html
Resist,"""Test For Echo""",1996,https://www.azlyrics.com/lyrics/rush/resist.html
Carve Away The Stone,"""Test For Echo""",1996,https://www.azlyrics.com/lyrics/rush/carveawaythestone.html
One Little Victory,"""Vapor Trails""",2002,https://www.azlyrics.com/lyrics/rush/onelittlevictory.html
Ceiling Unlimited,"""Vapor Trails""",2002,https://www.azlyrics.com/lyrics/rush/ceilingunlimited.html
Ghost Rider,"""Vapor Trails""",2002,https://www.azlyrics.com/lyrics/rush/ghostrider.html
Peaceable Kingdom,"""Vapor Trails""",2002,https://www.azlyrics.com/lyrics/rush/peaceablekingdom.html
The Stars Look Down,"""Vapor Trails""",2002,https://www.azlyrics.com/lyrics/rush/thestarslookdown.html
How It Is,"""Vapor Trails""",2002,https://www.azlyrics.com/lyrics/rush/howitis.html
Vapor Trail,"""Vapor Trails""",2002,https://www.azlyrics.com/lyrics/rush/vaportrail.html
Secret Touch,"""Vapor Trails""",2002,https://www.azlyrics.com/lyrics/rush/secrettouch.html
Earthshine,"""Vapor Trails""",2002,https://www.azlyrics.com/lyrics/rush/earthshine.html
Sweet Miracle,"""Vapor Trails""",2002,https://www.azlyrics.com/lyrics/rush/sweetmiracle.html
Nocturne,"""Vapor Trails""",2002,https://www.azlyrics.com/lyrics/rush/nocturne.html
Freeze,"""Vapor Trails""",2002,https://www.azlyrics.com/lyrics/rush/freeze.html
Out Of The Cradle,"""Vapor Trails""",2002,https://www.azlyrics.com/lyrics/rush/outofthecradle.html
Summertime Blues,"""Feedback""",2004,https://www.azlyrics.com/lyrics/rush/summertimeblues.html
Heart Full Of Soul,"""Feedback""",2004,https://www.azlyrics.com/lyrics/rush/heartfullofsoul.html
The Seeker,"""Feedback""",2004,https://www.azlyrics.com/lyrics/rush/theseeker.html
For What It's Worth,"""Feedback""",2004,https://www.azlyrics.com/lyrics/rush/forwhatitsworth.html
Shapes Of Things,"""Feedback""",2004,https://www.azlyrics.com/lyrics/rush/shapesofthings.html
Mr. Soul,"""Feedback""",2004,https://www.azlyrics.com/lyrics/rush/mrsoul.html
Crossroads,"""Feedback""",2004,https://www.azlyrics.com/lyrics/rush/crossroads.html
Seven And Seven Is,"""Feedback""",2004,https://www.azlyrics.com/lyrics/rush/sevenandsevenis.html
Far Cry,"""Snakes & Arrows""",2007,https://www.azlyrics.com/lyrics/rush/farcry.html
Armor And Sword,"""Snakes & Arrows""",2007,https://www.azlyrics.com/lyrics/rush/armorandsword.html
Workin' Them Angels,"""Snakes & Arrows""",2007,https://www.azlyrics.com/lyrics/rush/workinthemangels.html
The Larger Bowl (A Pantoum),"""Snakes & Arrows""",2007,https://www.azlyrics.com/lyrics/rush/thelargerbowlapantoum.html
Spindrift,"""Snakes & Arrows""",2007,https://www.azlyrics.com/lyrics/rush/spindrift.html
The Way The Wind Blows,"""Snakes & Arrows""",2007,https://www.azlyrics.com/lyrics/rush/thewaythewindblows.html
Faithless,"""Snakes & Arrows""",2007,https://www.azlyrics.com/lyrics/rush/faithless.html
Bravest Face,"""Snakes & Arrows""",2007,https://www.azlyrics.com/lyrics/rush/bravestface.html
Good News First,"""Snakes & Arrows""",2007,https://www.azlyrics.com/lyrics/rush/goodnewsfirst.html
Malignant Narcissism,"""Snakes & Arrows""",2007,https://www.azlyrics.com/lyrics/rush/malignantnarcissism.html
We Hold On,"""Snakes & Arrows""",2007,https://www.azlyrics.com/lyrics/rush/weholdon.html
Caravan,"""Clockwork Angels""",2012,https://www.azlyrics.com/lyrics/rush/caravan.html
BU2B,"""Clockwork Angels""",2012,https://www.azlyrics.com/lyrics/rush/bu2b.html
Clockwork Angels,"""Clockwork Angels""",2012,https://www.azlyrics.com/lyrics/rush/clockworkangels.html
The Anarchist,"""Clockwork Angels""",2012,https://www.azlyrics.com/lyrics/rush/theanarchist.html
Carnies,"""Clockwork Angels""",2012,https://www.azlyrics.com/lyrics/rush/carnies.html
Halo Effect,"""Clockwork Angels""",2012,https://www.azlyrics.com/lyrics/rush/haloeffect.html
Seven Cities Of Gold,"""Clockwork Angels""",2012,https://www.azlyrics.com/lyrics/rush/sevencitiesofgold.html
The Wreckers,"""Clockwork Angels""",2012,https://www.azlyrics.com/lyrics/rush/thewreckers.html
Headlong Flight,"""Clockwork Angels""",2012,https://www.azlyrics.com/lyrics/rush/headlongflight.html
BU2B2,"""Clockwork Angels""",2012,https://www.azlyrics.com/lyrics/rush/bu2b2.html
Wish Them Well,"""Clockwork Angels""",2012,https://www.azlyrics.com/lyrics/rush/wishthemwell.html
The Garden,"""Clockwork Angels""",2012,https://www.azlyrics.com/lyrics/rush/thegarden.html
Bad Boy,Other Songs,Various,https://www.azlyrics.com/lyrics/rush/badboy.html
Fancy Dancer,Other Songs,Various,https://www.azlyrics.com/lyrics/rush/fancydancer.html
Garden Road,Other Songs,Various,https://www.azlyrics.com/lyrics/rush/gardenroad.html
Not Fade Away,Other Songs,Various,https://www.azlyrics.com/lyrics/rush/notfadeaway.html
